Komponente,Größe,Einheit,2020,2025,2030,2035,2040,2045,2050
PKW ICE- Flüssigtreibstoff,Investition,EUR/car,23561,24309,24999,25622,26167,26610,26880
PKW ICE- Flüssigtreibstoff,Lebensdauer,a,15,15,15,15,15,15,15
PKW ICE- Flüssigtreibstoff,M/O-Kosten,% Invest,1.6,1.6,1.6,1.6,1.6,1.6,1.6
PKW ICE- Flüssigtreibstoff,Wirkungsgrad*,%,21.5,21.5,21.5,21.5,21.5,21.5,21.5
PKW ICE Gas,Investition,EUR/car,25041,25468,25912,26377,26864,27383,27952
PKW ICE Gas,Lebensdauer,a,15,15,15,15,15,15,15
PKW ICE Gas,M/O-Kosten,% Invest,1.4,1.4,1.4,1.4,1.4,1.4,1.4
PKW ICE Gas,Wirkungsgrad*,%,21.5,21.5,21.5,21.5,21.5,21.5,21.5
PKW H2- Brennstoffzelle,Investition,EUR/car,55000,43500,33226,30720,29440,28160,26880
PKW H2- Brennstoffzelle,Lebensdauer,a,15,15,15,15,15,15,15
PKW H2- Brennstoffzelle,M/O-Kosten,% Invest,1.1,1.1,1.1,1.1,1.2,1.2,1.2
PKW H2- Brennstoffzelle,Wirkungsgrad*,%,48.0,48.0,48.0,48.0,48.0,48.0,48.0
PKW Hybrid H2- Brennstoffzelle / Batterie,Investition,EUR/car,49375,42760,35000,33130,31260,30462,29665
PKW Hybrid H2- Brennstoffzelle / Batterie,Lebensdauer,a,15,15,15,15,15,15,15
PKW Hybrid H2- Brennstoffzelle / Batterie,M/O-Kosten,% Invest,1.1,1.1,1.1,1.1,1.2,1.2,1.2
PKW Hybrid H2- Brennstoffzelle / Batterie,Wirkungsgrad*,%,56.0,56.0,56.0,56.0,56.0,56.0,56.0
PKW Hybrid H2- Brennstoffzelle / Batterie,Anteil Batterie Fahrleistung,%,40,40,40,40,40,40,40
PKW Hybrid H2- Brennstoffzelle / Batterie,Batteriekapazität,kWh,12.5,20,20,20,20,20,20
PKW Hybrid H2- Brennstoffzelle / Batterie,Wirkungsgrad Batterie*,%,74.1,74.1,74.1,74.1,74.1,74.1,74.1
PKW Hybrid ICE Flüssigtreibstoff / Batterie,Investition,EUR/car,31832,31651,30350,30198,30046,30499,30952
PKW Hybrid ICE Flüssigtreibstoff / Batterie,Lebensdauer,a,15,15,15,15,15,15,15
PKW Hybrid ICE Flüssigtreibstoff / Batterie,M/O-Kosten,% Invest,1.3,1.3,1.3,1.3,1.3,1.3,1.3
PKW Hybrid ICE Flüssigtreibstoff / Batterie,Wirkungsgrad*,%,27.4,27.8,27.8,27.8,27.8,27.8,27.8
PKW Hybrid ICE Flüssigtreibstoff / Batterie,Anteil Batterie Fahrleistung,%,40.0,40.0,40.0,40.0,40.0,40.0,40.0
PKW Hybrid ICE Flüssigtreibstoff / Batterie,Batteriekapazität,kWh,12.5,20,20,20,20,20,20
PKW Hybrid ICE Flüssigtreibstoff / Batterie,Wirkungsgrad Batterie*,%,74.1,74.1,74.1,74.1,74.1,74.1,74.1
PKW Hybrid ICE Gas / Batterie,Investition,EUR/car,34129,33982,32690,32527,32364,32808,33252
PKW Hybrid ICE Gas / Batterie,Lebensdauer,a,15,15,15,15,15,15,15
PKW Hybrid ICE Gas / Batterie,M/O-Kosten,% Invest,1.3,1.3,1.3,1.3,1.3,1.3,1.3
